State,District,Soil Type,Soil pH,Rainfall (mm),Temperature (°C),Fertility,Nearest Seaport,Nearest ICD,Nearest Cargo Airport,Cold Storage (MT),Key Crops / Products,HS Codes,Top Export Products,Export Volume (MT),Top Buyer Countries,Exporters / Processors,AEZ / Cluster,GI Tags,State Incentives,Remarks
Gujarat,Chhota Udepur,"Red & Black mixed, Lateritic",6.0-7.5,950,24-33,Medium,Hazira – (~220 km),Vadodara ICD – (~120 km),Vadodara – (~140 km),48000,"Maize, Paddy, Pigeon pea, Mango","HS10, HS07",Maize,85000,Vietnam,185,,,Tribal package + 50% subsidy,Tribal maize & mango
Gujarat,Dahod,"Black cotton, Red loamy",6.5-8.0,900,24-33,High,Mundra – (~420 km),Ahmedabad ICD – (~220 km),Ahmedabad – (~240 km),95000,"Maize, Pulses, Mango","HS10, HS07",Maize,145000,Vietnam,325,,,–,Largest maize district
Gujarat,Dang,"Lateritic, Forest loam",5.0-6.5,1800,24-32,Medium,Hazira – (~180 km),Vapi ICD – (~100 km),Surat – (~160 km),22000,"Mango, Rice, Finger millet","HS08, HS10",Mango,28000,UAE,68,,Dangs Mango,90% transport subsidy,Tribal & forest produce
Gujarat,Devbhoomi Dwarka,"Coastal alluvial, Saline",7.5-8.8,450,25-35,Medium,Kandla – (~120 km),Jamnagar ICD – (~100 km),Jamnagar – (~110 km),68000,"Groundnut, Cumin, Cotton, Marine fish","HS12, HS03","Shrimp, Cumin",125000,"USA, UAE",285,Kutch Marine AEZ,,–,Marine + cumin
Gujarat,Gandhinagar,"Goradu loamy, Sandy",7.0-8.0,800,25-34,High,Mundra – (~340 km),Ahmedabad ICD – (~40 km),Ahmedabad – (~50 km),225000,"Castor, Cumin, Potato, Vegetables","HS12, HS09","Castor oil, Cumin",185000,"China, USA",585,,,Capital incentives,Castor & cumin hub
Gujarat,Gir Somnath,"Coastal alluvial, Black cotton",7.0-8.5,700,25-34,High,Pipavav – (~60 km),Rajkot ICD – (~220 km),Rajkot – (~240 km),145000,"Groundnut, Mango, Lion (tourism), Fish","HS12, HS08",Groundnut,225000,Indonesia,485,Saurashtra Groundnut AEZ,Gir Kesar Mango,–,Kesar mango & groundnut
Gujarat,Jamnagar,"Coastal saline, Black cotton",7.5-8.8,550,25-35,Medium-High,Kandla – (~80 km),Jamnagar ICD – (~20 km),Jamnagar – (~30 km),165000,"Groundnut, Cumin, Cotton, Marine products","HS12, HS03","Shrimp, Cumin",185000,"USA, UAE",525,Kutch Marine AEZ,,–,Marine export hub
Gujarat,Junagadh,"Medium black, Coastal alluvial",7.0-8.2,750,25-34,High,Pipavav – (~100 km),Rajkot ICD – (~120 km),Rajkot – (~140 km),225000,"Groundnut, Mango, Onion, Garlic, Cumin","HS12, HS09","Groundnut, Onion",385000,"Indonesia, Malaysia",985,Saurashtra Onion & Groundnut Cluster,"Gir Kesar Mango, Junagadh Kesari",–,Kesar mango & groundnut capital
Gujarat,Kheda,"Goradu loamy, Deep black",7.0-8.0,850,25-33,Very High,Mundra – (~300 km),Anand ICD – (~40 km),Ahmedabad – (~90 km),245000,"Tobacco, Rice, Potato, Dairy","HS24, HS04",Tobacco,165000,EU,685,,Kheda Mango (shared),–,Tobacco & dairy hub
Gujarat,Kutch,"Saline coastal, Black cotton, Rann soil",7.5-9.0,350,25-36,Medium,Kandla/Mundra – (~30 km)–(~80 km),Gandhidham ICD – (~20 km),Bhuj – (~80 km),285000,"Castor, Cumin, Isabgol, Dates, Shrimp","HS12, HS09, HS03","Castor oil, Shrimp",325000,"China, USA",1125,Kutch Marine & Castor AEZ,Kachchh Dates,50% extra subsidy in Kutch,Largest castor & marine district
Gujarat,Mahisagar,Red & Black mixed,6.5-7.8,900,24-33,Medium-High,Mundra – (~400 km),Ahmedabad ICD – (~180 km),Ahmedabad – (~200 km),85000,"Maize, Mango, Tobacco","HS10, HS08",Maize,145000,Vietnam,325,,,–,Maize & mango
Gujarat,Mehsana,"Sandy loam, Goradu",7.0-8.5,700,25-35,High,Mundra – (~320 km),Mehsana ICD – (~20 km),Ahmedabad – (~80 km),385000,"Cumin, Fennel, Castor, Potato, Psyllium","HS09, HS12","Cumin, Psyllium",685000,"UAE, USA",1585,North Gujarat Spices AEZ,Mehsani Buffalo (applied),Highest subsidy for seed spices & dairy,Spices & dairy capital
Gujarat,Morbi,"Medium black, Saline patches",7.0-8.5,600,25-35,High,Mundra – (~180 km),Rajkot ICD – (~80 km),Rajkot – (~100 km),165000,"Cotton, Groundnut, Ceramics (non-agri)","HS52, HS12",Cotton yarn,225000,Bangladesh,585,Saurashtra Cotton Cluster,,–,Cotton & ceramic hub
Gujarat,Narmada,"Deep black, Alluvial",6.8-8.0,1200,25-33,High,Hazira – (~150 km),Bharuch ICD – (~80 km),Surat – (~120 km),95000,"Banana, Cotton, Mango","HS08, HS52",Banana,165000,Russia,325,South Gujarat Horti Cluster,,–,Banana hub
Gujarat,Navsari,"Deep black, Coastal alluvial",6.5-7.8,1500,25-33,Very High,Hazira – (~60 km),Sachin ICD – (~40 km),Surat – (~50 km),185000,"Mango, Sapota, Rice, Sugarcane","HS08, HS17",Mango pulp,225000,"Russia, UAE",585,South Gujarat Horti Cluster,Navsari Sapota,–,Mango & sapota capital
Gujarat,Panchmahal,Red & Black mixed,6.5-7.8,900,24-33,High,Mundra – (~380 km),Godhra ICD – (~40 km),Ahmedabad – (~160 km),125000,"Maize, Paddy, Tobacco","HS10, HS24",Tobacco,185000,EU,425,,,–,Tribal maize & tobacco
Gujarat,Patan,"Sandy loam, Goradu",7.0-8.5,600,25-35,High,Mundra – (~280 km),Patan ICD – (~20 km),Ahmedabad – (~120 km),225000,"Cumin, Castor, Potato, Cotton","HS09, HS12",Cumin,385000,UAE,985,North Gujarat Spices AEZ,Patan Patola (textile),–,Cumin & castor hub
Gujarat,Porbandar,"Coastal alluvial, Medium black",7.5-8.5,650,25-34,High,Porbandar Port – (~10 km),Rajkot ICD – (~180 km),Rajkot – (~200 km),95000,"Groundnut, Cumin, Fish","HS12, HS03",Fish,125000,Japan,285,Kutch Marine AEZ,,–,Marine export port
Gujarat,Rajkot,"Medium black, Goradu",7.0-8.2,700,25-34,High,Pipavav – (~180 km),Rajkot ICD – (~20 km),Rajkot – (~30 km),285000,"Groundnut, Cotton, Cumin, Castor","HS12, HS52","Groundnut, Cotton yarn",485000,"China, Bangladesh",1285,Saurashtra Groundnut & Cotton Cluster,,–,Agro-processing & engineering hub
Gujarat,Sabarkantha,"Red loamy, Goradu",6.5-7.8,850,24-33,High,Mundra – (~350 km),Himatnagar ICD – (~30 km),Ahmedabad – (~90 km),185000,"Potato, Castor, Maize, Fennel","HS07, HS12",Potato,285000,Netherlands,685,North Gujarat Potato AEZ,,–,Potato & castor belt
Gujarat,Surat,"Deep black, Coastal alluvial",7.0-8.0,1200,26-34,Very High,Hazira – (~20 km),Sachin ICD – (~15 km),Surat – (~25 km),325000,"Sugarcane, Banana, Mango, Vegetables","HS17, HS08","Sugar, Banana",385000,"Russia, UAE",1185,South Gujarat Horti Cluster,Surat Zari Craft,–,Banana & sugarcane hub
Gujarat,Surendranagar,"Saline, Medium black",7.5-8.8,550,25-35,Medium-High,Pipavav – (~150 km),Rajkot ICD – (~120 km),Rajkot – (~140 km),165000,"Cotton, Cumin, Sesame","HS52, HS09","Cotton yarn, Cumin",285000,"Bangladesh, UAE",685,Saurashtra Cotton Cluster,,–,Cotton & cumin
Gujarat,Tapi,Deep black,6.5-7.8,1400,25-33,High,Hazira – (~100 km),Sachin ICD – (~80 km),Surat – (~100 km),95000,"Sugarcane, Banana, Paddy","HS17, HS08",Sugar,165000,Russia,285,South Gujarat Horti Cluster,,–,Sugarcane & banana
Gujarat,Vadodara,"Deep black, Goradu",7.0-8.0,950,25-34,Very High,Hazira – (~140 km),Vadodara ICD – (~20 km),Vadodara – (~30 km),285000,"Tobacco, Cotton, Maize, Mango","HS24, HS52",Tobacco,225000,EU,785,,,–,Tobacco & maize hub
Gujarat,Valsad,"Lateritic, Deep black coastal",5.5-7.5,1800,25-33,High,Hazira – (~80 km),Vapi ICD – (~20 km),Surat – (~120 km),165000,"Mango, Sapota, Rice, Chikoo",HS08,Mango pulp,185000,"Russia, UAE",525,South Gujarat Horti Cluster,Valsad Chikoo,–,Chikoo & mango hub
State,District,Predominant Soil Types (in order of dominance),Soil pH (typical range),"Annual Rainfall (avg, mm)",Annual Average Temperature (°C),Fertility Status,Nearest Seaport + Distance (km),Nearest ICD/CFS + Distance (km),Nearest Cargo Airport + Distance (km),Cold Storage Capacity (MT),Key Suitable Crops / Products,HS Chapters (Top 5–6 relevant),Major Export Products (last 3 years),Export Volume 2024-25 (MT),Top 3 Buyer Countries (2024),No. of Registered Exporters / Processors,Agri Export Zone (AEZ) or Cluster,GI Tags Present in District,State Incentive Highlights (2024-29 policy),Remarks / Special Notes
Haryana,Ambala,"Alluvial, Sierozem",7.5-8.5,1000,15-32,High,Mundra – (~480 km),Panipat ICD – (~140 km),Chandigarh – (~50 km),125000,"Rice, Wheat, Basmati, Potato","HS10, HS07",Basmati rice,185000,"UAE, Saudi, Iran",425,Haryana Basmati Cluster,,75% capital subsidy for food parks,Premium Basmati zone
Haryana,Bhiwani,"Sandy loam, Arid sierozem",7.8-8.8,450,18-36,Medium-High,Mundra – (~420 km),Rewari ICD – (~120 km),Delhi – (~150 km),185000,"Cotton, Guar gum, Mustard, Pearl millet","HS52, HS13","Guar gum, Cotton yarn",225000,"USA, China",585,,,Extra 20% subsidy for guar processing,Guar gum capital
Haryana,Charkhi Dadri,"Sandy loam, Loamy",7.5-8.5,500,18-36,Medium-High,Mundra – (~400 km),Rewari ICD – (~100 km),Delhi – (~130 km),95000,"Cotton, Mustard, Bajra","HS52, HS12",Cotton,145000,Bangladesh,285,,,–,Cotton belt
Haryana,Faridabad,"Alluvial, Yamuna loam",7.5-8.5,650,18-35,High,Mundra – (~520 km),Faridabad ICD – (~20 km),Delhi – (~40 km),285000,"Rice, Wheat, Vegetables, Buffalo milk","HS10, HS04","Basmati, Dairy products",225000,"UAE, USA",785,,,NCR incentives,Urban dairy & basmati hub
Haryana,Fatehabad,"Alluvial, Sandy loam",7.8-8.8,450,16-36,High,Mundra – (~500 km),Hisar ICD – (~80 km),Delhi – (~240 km),165000,"Cotton, Wheat, Guar","HS52, HS13","Cotton, Guar gum",185000,"China, USA",485,,,–,Cotton & guar
Haryana,Gurugram,"Alluvial, Sandy",7.5-8.5,650,18-35,High,Mundra – (~520 km),Gurgaon ICD – (~20 km),Delhi – (~50 km),325000,"Basmati rice, Vegetables, Dairy","HS10, HS04",Basmati,285000,"Saudi, Iran",985,Haryana Basmati Cluster,,NCR + 100% SGST,Corporate farming & dairy
Haryana,Hisar,"Sandy loam, Sierozem",7.8-8.8,450,18-37,High,Mundra – (~480 km),Hisar ICD – (~20 km),Delhi – (~180 km),225000,"Cotton, Guar, Wheat, Mustard","HS52, HS13",Guar gum,265000,"USA, Germany",685,,,–,Research hub (HAU) + guar
Haryana,Jhajjar,"Alluvial, Loamy",7.5-8.5,550,18-36,High,Mundra – (~480 km),Rewari ICD – (~60 km),Delhi – (~80 km),185000,"Rice, Wheat, Buffalo milk","HS10, HS04","Basmati, Dairy",195000,UAE,525,Haryana Basmati Cluster,,–,Milk corridor
Haryana,Jind,"Alluvial, Loamy",7.5-8.5,600,16-35,Very High,Mundra – (~480 km),Panipat ICD – (~100 km),Delhi – (~140 km),225000,"Rice, Wheat, Cotton","HS10, HS52",Basmati,285000,"Iran, Saudi",785,Haryana Basmati Cluster,,–,Top basmati district
Haryana,Kaithal,"Alluvial, Loamy",7.5-8.5,650,16-35,Very High,Mundra – (~500 km),Panipat ICD – (~120 km),Delhi – (~180 km),245000,"Basmati rice, Wheat",HS10,Basmati,325000,"UAE, Saudi",885,Haryana Basmati Cluster,,Highest subsidy for basmati milling,Premium basmati zone
Haryana,Karnal,Alluvial (Yamuna-Ghaggar),7.5-8.5,750,16-34,Very High,Mundra – (~520 km),Panipat ICD – (~60 km),Delhi – (~140 km),385000,"Basmati rice, Wheat, Mushroom, Dairy","HS10, HS04",Basmati,485000,"Iran, Saudi, UAE",1285,Haryana Basmati Cluster,,–,Basmati & dairy capital
Haryana,Kurukshetra,"Alluvial, Loamy",7.5-8.5,800,15-34,Very High,Mundra – (~520 km),Panipat ICD – (~100 km),Delhi – (~180 km),225000,"Basmati rice, Wheat",HS10,Basmati,285000,"UAE, Iran",685,Haryana Basmati Cluster,,–,Premium basmati
Haryana,Mahendragarh,"Sandy, Arid sierozem",8.0-9.0,500,18-37,Medium,Mundra – (~420 km),Rewari ICD – (~60 km),Delhi – (~140 km),95000,"Bajra, Mustard, Guar","HS13, HS12",Guar gum,125000,USA,285,,,–,Guar belt
Haryana,Nuh (Mewat),"Alluvial, Sandy",7.8-8.8,600,18-36,Medium-High,Mundra – (~520 km),Faridabad ICD – (~80 km),Delhi – (~90 km),125000,"Wheat, Mustard, Buffalo milk","HS04, HS12",Dairy products,165000,UAE,325,,,–,Buffalo milk corridor
Haryana,Palwal,Alluvial (Yamuna),7.5-8.5,650,18-35,High,Mundra – (~520 km),Faridabad ICD – (~40 km),Delhi – (~70 km),165000,"Rice, Wheat, Cotton","HS10, HS52",Basmati,185000,Saudi,425,Haryana Basmati Cluster,,–,Basmati & cotton
Haryana,Panchkula,"Alluvial, Shivalik foothill",7.0-8.0,1100,14-32,High,Mundra – (~520 km),Chandigarh ICD – (~60 km),Chandigarh – (~30 km),125000,"Basmati, Vegetables, Mushroom","HS10, HS07",Basmati,165000,UAE,325,Haryana Basmati Cluster,,–,Mushroom & basmati
Haryana,Panipat,"Alluvial, Loamy",7.5-8.5,650,16-35,High,Mundra – (~520 km),Panipat ICD – (~20 km),Delhi – (~100 km),285000,"Basmati rice, Cotton","HS10, HS52",Basmati,225000,Iran,685,Haryana Basmati Cluster,,–,Textile + basmati hub
Haryana,Rewari,"Sandy loam, Arid",7.8-8.8,550,18-37,Medium-High,Mundra – (~450 km),Rewari ICD – (~20 km),Delhi – (~90 km),165000,"Bajra, Mustard, Guar","HS13, HS12",Guar gum,185000,USA,425,,,–,Largest dry-port in Haryana
Haryana,Rohtak,"Alluvial, Loamy",7.5-8.5,600,17-36,High,Mundra – (~500 km),Panipat ICD – (~100 km),Delhi – (~80 km),195000,"Rice, Wheat, Cotton","HS10, HS52",Basmati,225000,Saudi,525,Haryana Basmati Cluster,,–,Basmati & dairy
Haryana,Sirsa,"Sandy loam, Desert soil",7.8-9.0,400,17-37,High,Mundra – (~520 km),Hisar ICD – (~140 km),Delhi – (~280 km),225000,"Cotton, Cotton, Guar, Kinnow","HS52, HS13","Cotton, Guar gum",285000,"China, USA",785,,Kinnow (shared),–,Cotton & citrus hub
Haryana,Sonipat,"Alluvial, Loamy",7.5-8.5,650,17-35,High,Mundra – (~520 km),Sonipat ICD – (~30 km),Delhi – (~60 km),285000,"Basmati rice, Vegetables",HS10,Basmati,325000,"Iran, UAE",985,Haryana Basmati Cluster,,–,Major basmati exporter
Haryana,Yamunanagar,"Alluvial, Shivalik piedmont",7.0-8.0,1100,15-33,High,Mundra – (~520 km),Panipat ICD – (~160 km),Chandigarh – (~100 km),165000,"Basmati rice, Wheat, Mango","HS10, HS08",Basmati,225000,"UAE, Saudi",585,Haryana Basmati Cluster,,–,Basmati & plywood hub
State,District,Predominant Soil Types (in order of dominance),Soil pH (typical range),"Annual Rainfall (avg, mm)",Annual Average Temperature (°C),Fertility Status,Nearest Seaport + Distance (km),Nearest ICD/CFS + Distance (km),Nearest Cargo Airport + Distance (km),Cold Storage Capacity (MT),Key Suitable Crops / Products,HS Chapters (Top 5–6 relevant),Major Export Products (last 3 years),Export Volume 2024-25 (MT),Top 3 Buyer Countries (2024),No. of Registered Exporters / Processors,Agri Export Zone (AEZ) or Cluster,GI Tags Present in District,State Incentive Highlights (2024-29 policy),Remarks / Special Notes
Himachal Pradesh,Bilaspur,"Brown forest, Loamy",6.0-7.5,1200,2028-12-01 00:00:00,High,Mundra – (~520 km),Ludhiana ICD – (~220 km),Chandigarh – (~140 km),68000,"Apple, Stone fruits, Ginger, Off-season veg","HS08, HS07","Apple, Ginger",48000,"UAE, Bangladesh",185,,Kangra Tea (shared),90% transport + 50% capital subsidy,Ginger & stone-fruit belt
Himachal Pradesh,Chamba,"Mountain skeletal, Brown forest",5.5-7.0,1500,2026-08-01 00:00:00,Medium,Mundra – (~680 km),Ludhiana ICD – (~380 km),Chandigarh – (~350 km),32000,"Apple, Rajmah, Honey, Walnut","HS08, HS07","Rajmah, Honey",18000,"UAE, USA",98,,"Chamba Rumal, Chamba Metal Craft",100% SGST + freight subsidy,Famous for Chamba Rajmah & honey
Himachal Pradesh,Hamirpur,"Brown hill, Loamy",6.0-7.5,1400,1930-12-01 00:00:00,High,Mundra – (~580 km),Ludhiana ICD – (~280 km),Chandigarh – (~200 km),85000,"Apple, Stone fruits, Off-season vegetables","HS08, HS07",Apple,68000,UAE,225,,Kangra Tea (shared),–,Off-season vegetable hub
Himachal Pradesh,Kangra,"Brown forest, Alluvial valleys",5.5-7.0,1800,2028-10-01 00:00:00,High,Mundra – (~620 km),Ludhiana ICD – (~320 km),Gaggal (Dharamshala) – (~30 km),125000,"Kangra Tea, Apple, Off-season veg, Kiwi","HS09, HS08",Kangra Tea,28000,"UK, USA, Germany",585,Kangra Tea AEZ,"Kangra Tea, Kangra Painting",100% income-tax holiday + 90% freight subsidy,World-famous Kangra Tea district
Himachal Pradesh,Kinnaur,"Alpine skeletal, Brown forest",6.0-7.5,400–800,0-22,Medium,Mundra – (~780 km),Ludhiana ICD – (~480 km),Chandigarh – (~320 km),48000,"Apple (Royal Delicious), Dry fruits, Peas, Almond",HS08,Apple,185000,"Russia, UAE",385,Kinnaur Apple AEZ,Kinnauri Apple (applied),Cold desert package + 100% freight subsidy,India’s highest apple-growing region
Himachal Pradesh,Kullu,"Mountain brown, Loamy valleys",5.8-7.2,1200,2026-05-01 00:00:00,High,Mundra – (~680 km),Ludhiana ICD – (~380 km),Bhuntar – (~20 km),95000,"Apple, Stone fruits, Off-season veg, Hops","HS08, HS07",Apple,145000,"UAE, Bangladesh",425,Kullu Apple Cluster,Kullu Shawl,90% transport subsidy,Tourism + apple hub
Himachal Pradesh,Lahaul & Spiti,"Alpine desert, Skeletal",6.5-7.8,300–600,-10 to 20,Low-Medium,Mundra – (~880 km),Ludhiana ICD – (~580 km),Kullu – (~240 km),28000,"Seed potato, Peas, Apple, Seabuckthorn","HS07, HS08","Seed potato, Seabuckthorn",32000,"Netherlands, UAE",165,Lahaul Potato AEZ,Lahaul Wool (applied),100% freight + cold desert package,Highest seed-potato zone in India
Himachal Pradesh,Mandi,"Brown hill, Loamy",6.0-7.5,1400,2028-10-01 00:00:00,High,Mundra – (~620 km),Ludhiana ICD – (~320 km),Chandigarh – (~220 km),165000,"Apple, Stone fruits, Off-season veg, Honey","HS08, HS04","Apple, Honey",125000,"UAE, UK",525,Mandi Apple Cluster,,–,Largest apple mandi in North India
Himachal Pradesh,Shimla,"Brown forest, Podzolic",5.5-7.0,1400,2025-05-01 00:00:00,High,Mundra – (~680 km),Ludhiana ICD – (~380 km),Chandigarh – (~140 km),285000,"Apple, Cherry, Stone fruits, Off-season veg","HS08, HS07",Apple,485000,"Russia, UAE, Bangladesh",1285,Shimla Apple AEZ,Himachali Kala Zeera,100% SGST + freight subsidy,Capital + India’s largest apple exporter
Himachal Pradesh,Sirmaur,"Brown hill, Loamy valleys",5.8-7.2,1600,1930-12-01 00:00:00,High,Mundra – (~580 km),Ludhiana ICD – (~280 km),Chandigarh – (~160 km),125000,"Apple, Peach, Ginger, Ginger, Tomato","HS08, HS07","Ginger, Tomato",85000,"Bangladesh, UAE",325,,Sirmauri Ginger,–,Ginger & tomato hub
Himachal Pradesh,Solan,"Brown podzolic, Loamy",5.5-7.0,1200,1930-10-01 00:00:00,High,Mundra – (~620 km),Ludhiana ICD – (~320 km),Chandigarh – (~80 km),225000,"Tomato, Mushroom, Stone fruits, Floriculture","HS07, HS06","Mushroom, Tomato",165000,"UAE, Russia",685,Solan Mushroom & Tomato Cluster,,50% extra subsidy for mushroom units,Mushroom capital of India
Himachal Pradesh,Una,"Alluvial, Sub-mountain loamy",6.5-7.8,1200,15-34,Very High,Mundra – (~580 km),Ludhiana ICD – (~220 km),Chandigarh – (~140 km),185000,"Wheat, Maize, Basmati, Mango, Litchi","HS10, HS08",Basmati,125000,UAE,425,,,–,Plains area – basmati & wheat
State,District,Predominant Soil Types (in order of dominance),Soil pH (typical range),"Annual Rainfall (avg, mm)",Annual Average Temperature (°C),Fertility Status,Nearest Seaport + Distance (km),Nearest ICD/CFS + Distance (km),Nearest Cargo Airport + Distance (km),Cold Storage Capacity (MT),Key Suitable Crops / Products,HS Chapters (Top 5–6 relevant),Major Export Products (last 3 years),Export Volume 2024-25 (MT),Top 3 Buyer Countries (2024),No. of Registered Exporters / Processors,Agri Export Zone (AEZ) or Cluster,GI Tags Present in District,State Incentive Highlights (2024-29 policy),Remarks / Special Notes
Jammu and Kashmir,Anantnag,"Alluvial valley, Karewa",6.5-7.8,700,2028-04-01 00:00:00,High,Mundra – (~1250 km),Jammu ICD – (~280 km),Srinagar – (~70 km),185000,"Apple, Saffron, Walnut, Cherry","HS08, HS09","Saffron, Apple",38000,"UAE, Saudi, USA",485,Kashmir Saffron AEZ,Kashmir Saffron (GI),100% SGST + 90% freight subsidy + 50% capital for CA stores,Kashmir Saffron capital
Jammu and Kashmir,Bandipora,"Karewa, Alluvial",6.8-7.8,650,2027-04-01 00:00:00,High,Mundra – (~1300 km),Jammu ICD – (~320 km),Srinagar – (~60 km),125000,"Apple, Walnut, Trout fish","HS08, HS03",Apple,68000,UAE,285,,Kashmir Walnut,–,Wular lake trout & apple
Jammu and Kashmir,Baramulla,"Karewa, Alluvial",6.5-7.8,800,2028-04-01 00:00:00,Very High,Mundra – (~1350 km),Jammu ICD – (~340 km),Srinagar – (~50 km),225000,"Apple, Cherry, Rice","HS08, HS10",Apple,165000,"Russia, UAE",685,Kashmir Apple AEZ,Kashmir Cherry,–,Top apple district
Jammu and Kashmir,Budgam,"Karewa, Valley loam",6.5-7.8,750,2028-05-01 00:00:00,High,Mundra – (~1300 km),Jammu ICD – (~300 km),Srinagar – (~30 km),165000,"Apple, Saffron, Walnut","HS08, HS09",Saffron,28000,Saudi,385,Kashmir Saffron AEZ,Kashmir Saffron,–,Saffron & apple
Jammu and Kashmir,Doda,"Mountain brown, Loamy",6.0-7.5,1100,2028-06-01 00:00:00,Medium-High,Mundra – (~1100 km),Jammu ICD – (~180 km),Jammu – (~200 km),68000,"Rajmah, Walnut, Apple","HS07, HS08",Rajmah,22000,UAE,185,,Bhaderwah Rajmah,–,Famous Bhaderwahi Rajmah
Jammu and Kashmir,Ganderbal,"Karewa, Alluvial",6.5-7.8,700,2027-04-01 00:00:00,High,Mundra – (~1300 km),Jammu ICD – (~310 km),Srinagar – (~30 km),125000,"Apple, Trout, Rice","HS08, HS03",Apple,95000,UAE,325,Kashmir Apple AEZ,,–,Trout farming hub
Jammu and Kashmir,Jammu,"Alluvial, Sub-mountain",7.0-8.0,1100,1936-12-01 00:00:00,Very High,Mundra – (~950 km),Jammu ICD – (~20 km),Jammu – (~30 km),285000,"Basmati rice, Mango, Litchi, Vegetables","HS10, HS08",Basmati,185000,"UAE, Saudi",785,Jammu Basmati Cluster,Basmat Rice of Jammu,100% SGST for agro units,Jammu plains – basmati & mango
Jammu and Kashmir,Kathua,"Alluvial, Kandi",7.0-8.2,1200,1937-12-01 00:00:00,High,Mundra – (~920 km),Jammu ICD – (~80 km),Jammu – (~90 km),165000,"Basmati, Wheat, Mango","HS10, HS08",Basmati,145000,Saudi,425,Jammu Basmati Cluster,,–,Basmati belt
Jammu and Kashmir,Kishtwar,"Mountain brown, Loamy",6.0-7.5,1000,2028-06-01 00:00:00,Medium-High,Mundra – (~1100 km),Jammu ICD – (~220 km),Jammu – (~240 km),48000,"Rajmah, Saffron, Walnut","HS07, HS09",Saffron,18000,UAE,165,Kishtwar Saffron Cluster,Kishtwar Saffron,–,Premium Kishtwar saffron
Jammu and Kashmir,Kulgam,"Karewa, Valley loam",6.5-7.8,800,2028-05-01 00:00:00,Very High,Mundra – (~1300 km),Jammu ICD – (~300 km),Srinagar – (~80 km),185000,"Apple, Walnut, Rice",HS08,Apple,125000,"UAE, Russia",525,Kashmir Apple AEZ,Kashmir Walnut,–,Apple bowl
Jammu and Kashmir,Kupwara,"Karewa, Mountain",6.0-7.5,900,2026-04-01 00:00:00,High,Mundra – (~1400 km),Jammu ICD – (~380 km),Srinagar – (~100 km),145000,"Apple, Walnut, Cherry",HS08,Apple,95000,UAE,385,Kashmir Apple AEZ,,–,High-altitude apples
Jammu and Kashmir,Pulwama,"Karewa, Alluvial",6.5-7.8,700,2028-05-01 00:00:00,Very High,Mundra – (~1300 km),Jammu ICD – (~290 km),Srinagar – (~40 km),225000,"Apple, Saffron, Almond","HS08, HS09","Saffron, Apple",68000,"Saudi, UAE",685,Kashmir Saffron AEZ,Kashmir Saffron,–,Pampore saffron hub
Jammu and Kashmir,Rajouri,"Sub-mountain, Loamy",6.5-7.8,1400,1932-08-01 00:00:00,High,Mundra – (~1000 km),Jammu ICD – (~160 km),Jammu – (~180 km),95000,"Rajmah, Maize, Walnut","HS07, HS08",Rajmah,32000,UAE,225,,Rajouri Rajmah,–,Famous Rajouri Rajmah
Jammu and Kashmir,Ramban,"Mountain brown, Loamy",6.0-7.5,1300,1930-08-01 00:00:00,Medium-High,Mundra – (~1100 km),Jammu ICD – (~200 km),Jammu – (~220 km),48000,"Rajmah, Apple, Walnut","HS07, HS08",Rajmah,22000,UAE,165,,,–,Rajmah & walnut
Jammu and Kashmir,Reasi,"Sub-mountain, Loamy",6.5-7.8,1300,1934-10-01 00:00:00,High,Mundra – (~1000 km),Jammu ICD – (~140 km),Jammu – (~160 km),68000,"Rajmah, Maize, Mango",HS07,Rajmah,28000,UAE,185,,,–,Rajmah belt
Jammu and Kashmir,Samba,"Alluvial, Kandi",7.0-8.2,1100,1937-12-01 00:00:00,High,Mundra – (~950 km),Jammu ICD – (~60 km),Jammu – (~70 km),125000,"Basmati, Wheat, Mango",HS10,Basmati,95000,Saudi,325,Jammu Basmati Cluster,Basmat Rice of Jammu,–,Basmati hub
Jammu and Kashmir,Shopian,"Karewa, Loamy",6.5-7.8,750,2027-04-01 00:00:00,Very High,Mundra – (~1300 km),Jammu ICD – (~300 km),Srinagar – (~60 km),285000,Apple (highest density),HS08,Apple,385000,"Russia, UAE, Bangladesh",985,Kashmir Apple AEZ,,–,India’s densest apple district
Jammu and Kashmir,Srinagar,"Karewa, Valley alluvial",6.8-7.8,700,1930-04-01 00:00:00,High,Mundra – (~1300 km),Jammu ICD – (~300 km),Srinagar – (~20 km),225000,"Apple, Saffron, Cherry, Dry fruits, Handicrafts","HS08, HS09","Saffron, Apple",125000,"UAE, Saudi",685,Kashmir Saffron & Apple AEZ,"Kashmir Saffron, Pashmina (shared)",Capital incentives,Commercial hub
Jammu and Kashmir,Udhampur,"Sub-mountain, Loamy",6.5-7.8,1400,1934-10-01 00:00:00,High,Mundra – (~1000 km),Jammu ICD – (~80 km),Jammu – (~90 km),95000,"Rajmah, Maize, Mango",HS07,Rajmah,38000,UAE,225,,,–,Rajmah area
